steps,BLEU-BPE2000-A-50,BLEU-BPE2000-B-50,BLEU-BPE4000-A-50,BLEU-BPE4000-B-50,BLEU-BPE4000-B-70
500,0.01823,0.8427,0.00755,0.23082,0.28003
1000,0.04235,2.19795,0.04148,0.96893,1.03221
1500,0.31676,3.11947,0.1533,3.07989,3.31315
2000,0.44141,3.29142,0.31434,3.80929,4.37347
2500,0.55397,4.02501,0.54235,4.3155,5.17723
3000,0.99359,4.50545,0.82392,4.99789,5.56626
3500,,,1.22242,5.64343,6.35409
4000,,,,,7.13402
