steps,BLEU-BPE2000-A-50,BLEU-BPE2000-B-50,BLEU-BPE4000-A-50,BLEU-BPE4000-B-50,BLEU-BPE4000-B-70
500,0.00683,0.07634,0.01415,0.29659,0.12581
1000,0.02606,0.58138,0.04061,0.35613,0.28074
1500,0.10609,1.39861,0.27525,1.29565,0.91083
2000,0.14571,2.22782,0.32962,1.66165,1.72512
2500,0.17153,2.5917,0.24067,2.50637,2.60433
3000,0.35888,2.6696,0.33209,3.0719,3.22592
3500,0.64802,2.8943,0.67696,3.17624,3.24752
4000,,,,,3.89283
