steps,PPL-BPE2000-A-50,PPL-BPE2000-B-50,PPL-BPE4000-A-50,PPL-BPE4000-B-50,PPL-BPE4000-B-70
500,194.73967,109.95234,265.28906,161.96069,146.2068
1000,134.26035,58.74942,177.24562,104.28819,95.19921
1500,109.54964,45.65102,138.17891,77.00913,70.48508
2000,98.42416,42.269,125.6221,68.82276,58.3163
2500,89.24913,41.85213,114.89022,71.8132,55.55156
3000,81.91664,44.32438,107.23995,75.53041,54.0889
3500,74.1874,46.45435,101.61857,79.56012,54.83289
4000,,,,,55.67514
