steps,PPL-BPE2000-A-50,PPL-BPE2000-B-50,PPL-BPE4000-A-50,PPL-BPE4000-B-50,PPL-BPE4000-B-70
500,193.86099,101.10932,264.97906,150.88423,135.93848
1000,125.78262,54.98857,182.02846,94.4204,85.18864
1500,106.50703,44.08229,138.79979,70.37695,60.30588
2000,95.27254,40.66191,123.6518,61.23497,50.10942
2500,86.1689,41.25095,111.20101,61.74948,45.65795
3000,78.89695,42.70639,103.15379,66.58179,44.49104
3500,,,95.9288,70.34698,45.66069
4000,,,,,46.52799
