steps,BLEU-BPE2000-A-50,BLEU-BPE2000-B-50,BLEU-BPE4000-A-50,BLEU-BPE4000-B-50,BLEU-BPE4000-B-70
500,0.00777,0.14611,0.04797,0.1073,0.06323
1000,0.04057,1.24209,0.07038,0.63435,0.3847
1500,0.09736,1.99768,0.12156,2.81121,2.35496
2000,0.37049,3.27849,0.21177,3.37427,3.70204
2500,0.47719,3.95526,0.50519,4.04464,4.94779
3000,1.05414,4.8743,0.48961,4.34609,5.35835
3500,1.2233,4.18897,0.82421,4.756,5.12326
4000,,,,,5.79396
