steps,PPL-BPE2000-A-50,PPL-BPE2000-B-50,PPL-BPE4000-A-50,PPL-BPE4000-B-50,PPL-BPE4000-B-70
500,232.25899,121.02367,326.28983,175.85564,167.46059
1000,149.31116,54.67866,217.2589,100.04403,94.98048
1500,113.0511,40.72023,152.00456,68.69774,64.49451
2000,95.77601,38.03799,126.72067,59.55418,52.65708
2500,83.44348,37.14064,113.33765,57.99809,45.84483
3000,73.51897,39.05202,103.878,59.03642,44.67662
3500,65.94458,40.81574,96.82979,62.5591,44.87618
4000,,,,,44.32241
